transaction_description,amount,date,category
Reliance Fresh,1127.88,2023-05-27,Groceries
ATM Withdrawal,358.39,2023-07-30,Others
Hotstar,379.76,2022-09-24,Entertainment
Udemy,56.68,2023-09-19,Education
Air India,296.57,2022-07-24,Travel
Netflix,380.3,2022-03-17,Entertainment
Udemy,138.85,2024-01-01,Education
Coursera,156.84,2023-11-30,Education
Myntra,236.83,2023-12-28,Shopping
Spotify,10.14,2023-07-10,Entertainment
IRCTC,194.36,2022-06-11,Travel
BSNL Bill,118.78,2023-06-05,Utilities
Zomato,198.37,2022-07-25,Dining
Mahanagar Gas,63.78,2023-05-21,Utilities
D-Mart,1106.04,2023-07-22,Groceries
Ajio,450.2,2023-07-19,Shopping
Indane Gas,568.32,2022-03-30,Utilities
Hotstar,778.35,2023-02-12,Entertainment
Unacademy,345.02,2023-02-25,Education
Fortis Hospital,45.47,2022-03-17,Healthcare
BSNL Bill,385.13,2023-10-20,Utilities
BookMyShow,441.96,2023-04-23,Entertainment
PhonePe,684.11,2022-05-12,Others
UPI Transfer,282.52,2022-07-06,Others
Water Board,68.24,2023-05-30,Utilities
Big Bazaar,166.88,2023-06-15,Groceries
BSNL Bill,225.56,2022-06-18,Utilities
BSNL Bill,519.11,2023-12-28,Utilities
Domino's,422.89,2023-06-16,Dining
Uber,220.1,2022-09-14,Travel
Barbeque Nation,2153.1,2022-10-09,Dining
BSNL Bill,465.42,2023-09-22,Utilities
Paytm Recharge,135.4,2023-05-30,Others
Indane Gas,53.67,2023-08-18,Utilities
Mahanagar Gas,82.94,2023-11-06,Utilities
Tata CLiQ,141.15,2022-02-12,Shopping
Big Bazaar,87.58,2022-02-16,Groceries
Ola,103.25,2023-08-09,Travel
Fortis Hospital,167.8,2023-10-17,Healthcare
Spencer's,95.2,2023-10-05,Groceries
PhonePe,1135.38,2023-10-20,Others
Air India,41.82,2022-09-08,Travel
Practo,371.71,2023-04-10,Healthcare
PVR Cinemas,264.15,2022-06-11,Entertainment
Vedantu,2019.32,2023-05-11,Education
Udemy,59.41,2022-12-15,Education
BSNL Bill,253.63,2022-11-23,Utilities
Ajio,1744.53,2022-05-14,Shopping
Tata CLiQ,1003.12,2023-07-30,Shopping
Hotstar,849.33,2022-09-05,Entertainment
Coursera,149.14,2022-10-01,Education
Udemy,93.7,2022-05-25,Education
PVR Cinemas,552.28,2022-10-25,Entertainment
Fortis Hospital,1325.19,2023-03-05,Healthcare
Swiggy,406.83,2022-12-02,Dining
Flipkart,423.86,2022-06-13,Shopping
Unacademy,164.24,2023-04-24,Education
BYJU'S,733.74,2023-05-25,Education
Big Bazaar,103.54,2023-02-07,Groceries
ATM Withdrawal,195.54,2022-09-04,Others
Barbeque Nation,277.07,2022-12-28,Dining
Big Bazaar,354.24,2022-10-16,Groceries
Unacademy,138.81,2023-11-01,Education
BYJU'S,60.99,2023-07-04,Education
Big Bazaar,471.6,2023-03-18,Groceries
BSNL Bill,170.28,2023-01-10,Utilities
Practo,435.23,2022-02-16,Healthcare
Apollo Pharmacy,83.83,2023-08-07,Healthcare
Google Pay,328.06,2023-01-07,Others
PhonePe,380.27,2022-03-17,Others
Fortis Hospital,26.61,2023-04-07,Healthcare
PhonePe,205.19,2023-10-01,Others
Netflix,72.17,2022-04-10,Entertainment
Practo,32.74,2022-12-14,Healthcare
PhonePe,2300.6,2022-05-28,Others
Barbeque Nation,194.57,2023-06-06,Dining
Fortis Hospital,830.04,2022-02-11,Healthcare
Big Bazaar,146.94,2022-05-21,Groceries
Ajio,572.07,2023-06-16,Shopping
Udemy,714.03,2023-09-13,Education
Google Pay,452.72,2022-12-02,Others
Flipkart,318.93,2023-02-07,Shopping
Indigo Airlines,265.38,2022-12-11,Travel
UPI Transfer,214.52,2023-06-30,Others
Unacademy,1326.28,2022-11-03,Education
Coursera,887.8,2023-01-13,Education
Amazon,1676.59,2023-03-03,Shopping
Uber,66.36,2023-09-04,Travel
BYJU'S,656.28,2023-11-03,Education
Zomato,1393.06,2023-08-21,Dining
Udemy,99.98,2023-06-21,Education
1mg,34.41,2023-11-29,Healthcare
Zomato,675.7,2023-08-10,Dining
Netflix,427.21,2022-01-20,Entertainment
BYJU'S,922.04,2023-03-05,Education
Water Board,75.28,2023-12-09,Utilities
McDonald's,793.03,2023-05-29,Dining
Coursera,112.59,2023-12-24,Education
Indane Gas,89.36,2022-08-01,Utilities
PhonePe,89.72,2023-11-10,Others
Unacademy,842.55,2023-01-21,Education
Flipkart,547.11,2023-04-16,Shopping
PhonePe,370.19,2023-07-14,Others
Myntra,222.23,2023-09-17,Shopping
Udemy,1048.6,2022-09-10,Education
Indigo Airlines,249.16,2022-11-02,Travel
Domino's,848.04,2022-10-23,Dining
McDonald's,289.14,2022-11-21,Dining
BYJU'S,236.56,2023-07-28,Education
IRCTC,310.58,2022-05-05,Travel
ATM Withdrawal,179.32,2023-02-09,Others
Flipkart,688.39,2022-10-25,Shopping
D-Mart,349.3,2022-03-22,Groceries
Ajio,132.12,2023-11-03,Shopping
Air India,1149.17,2022-08-08,Travel
Barbeque Nation,242.17,2022-10-05,Dining
PhonePe,392.14,2022-05-21,Others
Spotify,1184.75,2023-08-24,Entertainment
Swiggy,489.4,2022-02-21,Dining
Google Pay,62.16,2023-10-16,Others
Zomato,1405.31,2022-04-13,Dining
Practo,494.04,2023-04-29,Healthcare
Netflix,203.91,2022-01-06,Entertainment
Google Pay,74.99,2023-02-21,Others
Vedantu,790.0,2023-10-29,Education
Domino's,483.89,2022-11-25,Dining
Uber,381.21,2022-04-02,Travel
Barbeque Nation,1121.65,2022-02-08,Dining
Water Board,777.0,2022-06-30,Utilities
Spencer's,82.25,2023-05-23,Groceries
BSNL Bill,186.78,2022-02-08,Utilities
D-Mart,142.83,2023-08-05,Groceries
Hotstar,681.18,2022-10-19,Entertainment
Unacademy,17.05,2023-06-21,Education
Udemy,421.86,2023-06-01,Education
BYJU'S,718.71,2022-07-17,Education
Hotstar,1046.83,2022-06-16,Entertainment
BYJU'S,209.34,2022-07-10,Education
D-Mart,860.9,2022-10-30,Groceries
Swiggy,58.62,2023-09-18,Dining
MedPlus,936.87,2023-06-12,Healthcare
Amazon,68.19,2023-02-15,Shopping
Netflix,253.16,2022-05-24,Entertainment
BYJU'S,798.0,2022-09-12,Education
D-Mart,81.21,2023-01-28,Groceries
McDonald's,130.2,2022-10-01,Dining
Myntra,640.52,2023-08-20,Shopping
D-Mart,636.55,2023-11-01,Groceries
Flipkart,512.42,2022-03-05,Shopping
BookMyShow,592.0,2022-11-11,Entertainment
Water Board,391.23,2023-12-04,Utilities
PhonePe,145.04,2023-12-08,Others
Hotstar,212.09,2023-01-12,Entertainment
Swiggy,100.2,2022-05-17,Dining
Udemy,1195.44,2023-04-11,Education
Ajio,437.8,2023-12-20,Shopping
ATM Withdrawal,256.12,2023-07-05,Others
Swiggy,309.95,2023-11-28,Dining
Spotify,1471.41,2023-04-03,Entertainment
PhonePe,83.23,2022-03-21,Others
PVR Cinemas,441.22,2023-07-15,Entertainment
Google Pay,352.5,2023-08-10,Others
Google Pay,472.67,2022-06-18,Others
Tata CLiQ,9.14,2023-03-29,Shopping
Netflix,1028.35,2023-08-21,Entertainment
Coursera,1344.99,2023-06-07,Education
Coursera,416.36,2023-04-10,Education
Indane Gas,596.44,2023-03-02,Utilities
Unacademy,1278.73,2022-03-01,Education
ATM Withdrawal,614.2,2023-11-20,Others
Uber,82.76,2023-02-10,Travel
Uber,429.35,2022-08-12,Travel
PVR Cinemas,466.61,2023-03-10,Entertainment
Amazon,275.94,2023-07-09,Shopping
Big Bazaar,666.75,2023-04-29,Groceries
D-Mart,1361.84,2023-02-23,Groceries
Mahanagar Gas,1298.94,2023-10-19,Utilities
Practo,299.68,2023-01-27,Healthcare
Vedantu,60.09,2023-01-20,Education
Spotify,2094.59,2022-05-17,Entertainment
Amazon,912.86,2022-07-02,Shopping
ATM Withdrawal,66.57,2023-06-26,Others
Mahanagar Gas,1268.15,2022-01-04,Utilities
D-Mart,1019.71,2023-04-20,Groceries
ATM Withdrawal,365.78,2023-06-29,Others
1mg,447.36,2022-09-11,Healthcare
BYJU'S,254.58,2022-06-08,Education
Ola,28.16,2022-04-26,Travel
Spencer's,204.13,2023-09-22,Groceries
Reliance Fresh,811.9,2022-07-31,Groceries
PVR Cinemas,2.32,2023-09-01,Entertainment
Spencer's,202.86,2023-09-05,Groceries
Reliance Fresh,253.89,2022-02-15,Groceries
MedPlus,385.44,2022-08-28,Healthcare
Google Pay,1261.96,2022-02-27,Others
Indane Gas,212.59,2022-10-24,Utilities
Barbeque Nation,213.05,2022-11-23,Dining
Flipkart,668.75,2022-11-06,Shopping
Indane Gas,300.94,2022-08-15,Utilities
Practo,127.19,2022-10-09,Healthcare
Nature's Basket,301.14,2023-08-29,Groceries
Water Board,75.91,2023-07-24,Utilities
Coursera,97.03,2022-12-19,Education
Fortis Hospital,344.94,2022-11-23,Healthcare
MedPlus,271.44,2022-06-02,Healthcare
Air India,1231.65,2022-07-08,Travel
ATM Withdrawal,225.02,2022-09-04,Others
Domino's,434.45,2023-12-26,Dining
Water Board,500.2,2022-03-01,Utilities
ATM Withdrawal,6.59,2023-03-03,Others
UPI Transfer,544.63,2022-05-18,Others
1mg,98.03,2022-09-19,Healthcare
Domino's,1623.0,2023-10-25,Dining
BookMyShow,80.47,2023-01-15,Entertainment
Spotify,267.75,2022-07-15,Entertainment
D-Mart,44.61,2023-01-22,Groceries
Big Bazaar,2884.04,2022-07-12,Groceries
Google Pay,348.77,2023-05-06,Others
Domino's,452.41,2022-11-07,Dining
Reliance Fresh,34.72,2022-07-14,Groceries
BookMyShow,693.07,2022-09-06,Entertainment
McDonald's,117.8,2022-09-03,Dining
PhonePe,1141.66,2022-10-17,Others
MedPlus,114.79,2023-07-01,Healthcare
Myntra,105.79,2022-09-25,Shopping
Tata CLiQ,18.62,2023-05-25,Shopping
Coursera,319.39,2023-04-26,Education
Flipkart,416.02,2023-01-15,Shopping
Ajio,33.98,2022-02-16,Shopping
Swiggy,747.0,2022-01-17,Dining
Indigo Airlines,301.92,2023-08-22,Travel
Practo,371.58,2022-06-06,Healthcare
Domino's,290.59,2022-08-24,Dining
Fortis Hospital,256.05,2022-09-09,Healthcare
Unacademy,410.08,2023-11-02,Education
Myntra,84.35,2023-05-16,Shopping
Vedantu,100.4,2022-06-22,Education
Flipkart,989.47,2022-05-24,Shopping
ATM Withdrawal,1460.46,2022-07-08,Others
Paytm Recharge,233.65,2023-06-21,Others
Big Bazaar,157.87,2023-11-16,Groceries
Big Bazaar,516.41,2023-02-27,Groceries
Mahanagar Gas,262.74,2022-03-11,Utilities
BESCOM,12.86,2022-08-12,Utilities
ATM Withdrawal,84.89,2023-01-18,Others
Nature's Basket,629.34,2023-10-16,Groceries
Vedantu,537.82,2022-01-17,Education
Nature's Basket,13.73,2023-07-19,Groceries
Apollo Pharmacy,125.5,2022-01-18,Healthcare
PhonePe,131.38,2023-07-03,Others
Uber,557.21,2023-05-30,Travel
1mg,9.95,2022-04-20,Healthcare
Spotify,54.97,2022-06-02,Entertainment
Swiggy,804.51,2023-09-27,Dining
PhonePe,98.34,2022-12-29,Others
Air India,528.85,2022-03-22,Travel
Ajio,136.02,2023-04-16,Shopping
Swiggy,52.37,2022-11-04,Dining
PVR Cinemas,139.31,2022-04-06,Entertainment
MedPlus,640.55,2023-01-22,Healthcare
ATM Withdrawal,967.92,2022-02-27,Others
Reliance Fresh,886.63,2022-03-26,Groceries
Vedantu,253.07,2023-10-23,Education
Tata CLiQ,551.44,2022-04-08,Shopping
Paytm Recharge,114.7,2022-08-24,Others
Barbeque Nation,173.47,2023-05-02,Dining
Uber,1133.3,2022-03-18,Travel
Indigo Airlines,6.54,2023-08-01,Travel
Reliance Fresh,44.69,2022-11-19,Groceries
Reliance Fresh,116.53,2023-08-25,Groceries
Water Board,13.45,2022-03-20,Utilities
Ola,100.1,2023-08-01,Travel
Barbeque Nation,437.38,2023-02-03,Dining
PhonePe,273.59,2023-01-29,Others
BESCOM,1115.93,2023-05-28,Utilities
Amazon,850.35,2022-04-11,Shopping
1mg,209.14,2022-03-19,Healthcare
Tata CLiQ,150.16,2023-09-21,Shopping
Practo,238.77,2022-01-31,Healthcare
Air India,446.16,2023-05-18,Travel
Domino's,156.03,2023-07-21,Dining
MedPlus,489.28,2022-07-10,Healthcare
Apollo Pharmacy,263.32,2023-09-26,Healthcare
Ola,401.53,2024-01-01,Travel
PVR Cinemas,286.46,2022-10-02,Entertainment
Water Board,174.4,2023-12-30,Utilities
Water Board,1482.63,2022-11-21,Utilities
Amazon,721.13,2022-04-04,Shopping
D-Mart,75.48,2023-04-01,Groceries
Myntra,1014.25,2022-04-15,Shopping
BESCOM,334.16,2022-07-11,Utilities
MedPlus,1124.77,2023-07-25,Healthcare
UPI Transfer,804.36,2023-02-22,Others
PVR Cinemas,276.88,2022-04-02,Entertainment
Tata CLiQ,11.36,2022-04-06,Shopping
Ajio,156.45,2022-01-13,Shopping
Air India,390.04,2023-02-02,Travel
Spotify,501.85,2022-09-06,Entertainment
Google Pay,149.13,2023-12-03,Others
1mg,75.04,2022-05-23,Healthcare
IRCTC,900.69,2022-10-02,Travel
Udemy,2080.31,2022-03-06,Education
Water Board,372.95,2022-10-10,Utilities
Practo,94.18,2023-05-11,Healthcare
Hotstar,158.94,2022-09-15,Entertainment
McDonald's,9.28,2023-09-01,Dining
McDonald's,1228.44,2022-04-20,Dining
BSNL Bill,62.64,2022-01-07,Utilities
Practo,429.62,2023-09-28,Healthcare
Practo,160.14,2023-03-27,Healthcare
Ajio,403.92,2023-10-29,Shopping
BSNL Bill,526.94,2022-11-25,Utilities
McDonald's,885.22,2022-11-18,Dining
Water Board,115.6,2022-11-23,Utilities
Air India,5.53,2023-08-13,Travel
Domino's,73.6,2023-01-21,Dining
Air India,1151.39,2023-01-09,Travel
Spotify,1035.3,2022-07-24,Entertainment
Google Pay,454.92,2023-11-30,Others
Paytm Recharge,458.79,2023-04-18,Others
McDonald's,546.87,2022-10-26,Dining
BookMyShow,96.41,2023-11-21,Entertainment
Udemy,1229.1,2023-10-11,Education
Ola,271.3,2022-09-16,Travel
Water Board,241.56,2023-01-22,Utilities
BookMyShow,365.86,2023-09-05,Entertainment
Unacademy,24.05,2023-02-15,Education
UPI Transfer,90.93,2023-12-10,Others
Fortis Hospital,669.77,2022-02-07,Healthcare
Tata CLiQ,43.21,2023-09-01,Shopping
PVR Cinemas,462.1,2022-09-12,Entertainment
Flipkart,140.75,2023-10-25,Shopping
Nature's Basket,246.57,2023-10-23,Groceries
Practo,170.33,2023-03-17,Healthcare
PVR Cinemas,219.77,2022-04-11,Entertainment
Ola,634.78,2023-06-07,Travel
UPI Transfer,176.29,2023-08-18,Others
McDonald's,417.82,2023-01-19,Dining
MedPlus,323.18,2023-11-27,Healthcare
Google Pay,544.83,2022-12-20,Others
Spencer's,1380.96,2022-04-18,Groceries
Air India,659.45,2022-03-29,Travel
Netflix,121.0,2022-12-23,Entertainment
IRCTC,15.84,2023-04-12,Travel
Barbeque Nation,152.08,2023-05-10,Dining
Ajio,452.03,2022-04-10,Shopping
Vedantu,26.4,2022-11-23,Education
Hotstar,342.95,2022-02-15,Entertainment
PVR Cinemas,454.21,2022-12-18,Entertainment
Netflix,203.42,2022-09-07,Entertainment
Google Pay,736.82,2023-07-20,Others
BSNL Bill,56.36,2023-07-28,Utilities
MedPlus,39.06,2022-08-26,Healthcare
1mg,651.32,2022-07-10,Healthcare
MedPlus,342.09,2022-01-30,Healthcare
McDonald's,583.02,2023-08-30,Dining
MedPlus,285.31,2022-01-05,Healthcare
Swiggy,141.45,2022-10-13,Dining
Spotify,854.91,2022-04-15,Entertainment
Google Pay,803.26,2023-01-10,Others
Flipkart,593.22,2023-04-14,Shopping
Hotstar,158.83,2023-11-18,Entertainment
Unacademy,446.08,2023-10-17,Education
Tata CLiQ,223.9,2023-02-02,Shopping
Fortis Hospital,48.03,2022-04-27,Healthcare
Myntra,1246.35,2023-04-14,Shopping
BSNL Bill,73.57,2023-09-22,Utilities
Netflix,1500.25,2022-11-17,Entertainment
Netflix,295.3,2022-11-09,Entertainment
Netflix,102.37,2023-01-18,Entertainment
Indane Gas,390.33,2023-02-02,Utilities
Fortis Hospital,1031.57,2022-05-22,Healthcare
MedPlus,658.8,2022-07-10,Healthcare
Unacademy,821.4,2023-12-12,Education
Indane Gas,537.62,2022-06-20,Utilities
BYJU'S,589.28,2022-05-24,Education
BSNL Bill,945.89,2023-04-07,Utilities
D-Mart,143.62,2022-01-10,Groceries
Udemy,336.11,2022-07-19,Education
Fortis Hospital,125.01,2023-06-02,Healthcare
Vedantu,2197.78,2023-12-03,Education
Vedantu,1441.73,2023-12-29,Education
Vedantu,20.11,2022-06-21,Education
Spotify,611.37,2022-02-01,Entertainment
Domino's,1296.79,2022-02-03,Dining
Ola,99.58,2023-07-05,Travel
Ola,419.6,2023-04-14,Travel
Unacademy,1235.43,2023-06-08,Education
Spotify,17.27,2022-04-27,Entertainment
Indigo Airlines,597.71,2023-01-11,Travel
Paytm Recharge,176.45,2023-03-28,Others
Google Pay,1291.12,2023-03-12,Others
Netflix,1771.23,2022-11-01,Entertainment
Spencer's,1443.59,2022-09-27,Groceries
Amazon,321.43,2023-03-26,Shopping
Netflix,990.41,2022-08-03,Entertainment
Tata CLiQ,930.71,2023-10-10,Shopping
1mg,192.17,2023-09-23,Healthcare
Mahanagar Gas,882.8,2022-07-31,Utilities
Nature's Basket,18.85,2022-12-26,Groceries
PhonePe,453.5,2023-09-04,Others
Google Pay,130.69,2022-11-28,Others
IRCTC,64.24,2023-08-10,Travel
Indigo Airlines,40.04,2023-11-27,Travel
Netflix,595.84,2023-02-26,Entertainment
D-Mart,207.66,2023-11-03,Groceries
Mahanagar Gas,645.07,2022-09-13,Utilities
BSNL Bill,33.79,2022-09-11,Utilities
MedPlus,189.38,2022-05-26,Healthcare
Air India,387.71,2023-01-20,Travel
Coursera,782.05,2023-10-11,Education
BookMyShow,191.91,2023-06-12,Entertainment
IRCTC,491.6,2023-04-11,Travel
BYJU'S,1085.68,2023-08-19,Education
Big Bazaar,478.38,2023-04-15,Groceries
Amazon,132.61,2023-07-02,Shopping
1mg,12.35,2023-03-16,Healthcare
McDonald's,1020.49,2022-10-02,Dining
Myntra,10.75,2022-12-12,Shopping
UPI Transfer,1038.53,2022-05-14,Others
BYJU'S,376.38,2023-11-30,Education
Big Bazaar,1399.0,2022-04-12,Groceries
Coursera,801.69,2022-05-08,Education
Water Board,3091.1,2023-04-13,Utilities
Spencer's,215.94,2022-07-27,Groceries
BSNL Bill,728.76,2022-06-12,Utilities
Uber,257.02,2023-11-02,Travel
Myntra,326.84,2022-03-26,Shopping
Flipkart,493.77,2022-02-23,Shopping
Practo,1034.46,2023-12-18,Healthcare
McDonald's,2070.2,2023-11-03,Dining
PVR Cinemas,731.1,2022-01-02,Entertainment
McDonald's,270.44,2022-03-21,Dining
Indane Gas,273.53,2022-08-20,Utilities
ATM Withdrawal,668.91,2022-01-10,Others
D-Mart,136.41,2022-05-04,Groceries
1mg,58.53,2023-05-05,Healthcare
Netflix,218.96,2023-01-28,Entertainment
PVR Cinemas,169.3,2022-04-16,Entertainment
Myntra,175.71,2022-11-03,Shopping
Water Board,133.03,2022-05-17,Utilities
BESCOM,21.5,2023-06-28,Utilities
Nature's Basket,9.02,2023-10-28,Groceries
Water Board,2199.99,2022-12-26,Utilities
Swiggy,279.11,2023-02-26,Dining
Udemy,242.52,2022-03-30,Education
Netflix,569.17,2022-05-07,Entertainment
Practo,123.11,2023-03-16,Healthcare
Flipkart,1497.48,2022-09-11,Shopping
Uber,771.7,2022-09-12,Travel
UPI Transfer,46.83,2023-09-07,Others
Uber,270.28,2023-11-06,Travel
Ola,1056.47,2023-06-15,Travel
Google Pay,1447.78,2023-02-06,Others
Uber,314.99,2022-09-03,Travel
Vedantu,475.2,2022-04-26,Education
McDonald's,91.38,2023-10-16,Dining
Spotify,2364.72,2022-01-13,Entertainment
Myntra,131.77,2022-05-16,Shopping
Fortis Hospital,1430.0,2023-03-07,Healthcare
Tata CLiQ,524.41,2023-12-01,Shopping
Water Board,467.91,2022-03-16,Utilities
Nature's Basket,359.43,2022-03-11,Groceries
D-Mart,131.12,2022-08-09,Groceries
Big Bazaar,97.11,2023-02-12,Groceries
PhonePe,124.54,2023-10-06,Others
ATM Withdrawal,103.17,2023-03-10,Others
Apollo Pharmacy,756.12,2023-10-18,Healthcare
UPI Transfer,215.49,2023-09-23,Others
BSNL Bill,29.79,2022-03-27,Utilities
Uber,1738.54,2023-06-08,Travel
Swiggy,1076.16,2023-07-04,Dining
Ajio,1313.83,2023-08-24,Shopping
Hotstar,2640.02,2023-12-17,Entertainment
1mg,95.52,2022-03-01,Healthcare
Zomato,252.29,2023-03-21,Dining
BookMyShow,709.9,2023-09-19,Entertainment
D-Mart,595.4,2023-11-14,Groceries
BESCOM,83.56,2022-01-13,Utilities
BESCOM,845.96,2022-06-17,Utilities
BYJU'S,127.09,2023-06-20,Education
PhonePe,126.68,2022-06-20,Others
Flipkart,384.99,2022-10-03,Shopping
PVR Cinemas,449.4,2022-12-10,Entertainment
Practo,433.85,2023-06-21,Healthcare
Hotstar,47.97,2023-12-31,Entertainment
BookMyShow,1049.66,2023-04-12,Entertainment
PhonePe,154.35,2022-02-26,Others
Unacademy,69.35,2022-06-20,Education
Flipkart,1097.98,2022-09-19,Shopping
Spotify,1557.84,2023-11-22,Entertainment
Netflix,990.71,2023-06-06,Entertainment
Big Bazaar,829.09,2022-01-13,Groceries
Zomato,532.46,2023-04-29,Dining
Ajio,400.21,2022-06-03,Shopping
BESCOM,45.5,2023-07-21,Utilities
1mg,262.51,2022-11-26,Healthcare
McDonald's,233.16,2022-11-24,Dining
Uber,150.39,2023-08-09,Travel
Amazon,642.63,2023-05-30,Shopping
Reliance Fresh,342.47,2022-08-17,Groceries
Paytm Recharge,42.26,2023-02-15,Others
BookMyShow,124.35,2022-10-17,Entertainment
IRCTC,574.84,2022-03-30,Travel
ATM Withdrawal,39.59,2022-01-09,Others
Flipkart,952.6,2022-10-26,Shopping
Indigo Airlines,341.74,2022-09-06,Travel
BYJU'S,327.53,2023-08-29,Education
Udemy,448.74,2023-07-14,Education
Swiggy,870.57,2022-01-07,Dining
Apollo Pharmacy,213.71,2022-08-27,Healthcare
PhonePe,566.63,2023-10-14,Others
D-Mart,417.05,2022-01-02,Groceries
Practo,155.32,2022-04-17,Healthcare
Barbeque Nation,1054.46,2022-09-01,Dining
MedPlus,798.33,2022-03-03,Healthcare
BSNL Bill,537.13,2022-04-06,Utilities
Reliance Fresh,950.5,2023-06-17,Groceries
Practo,1009.81,2023-04-15,Healthcare
Spotify,616.12,2022-04-08,Entertainment
Google Pay,907.04,2023-10-15,Others
Apollo Pharmacy,597.79,2023-08-30,Healthcare
Spencer's,569.94,2023-11-10,Groceries
Mahanagar Gas,481.97,2022-10-26,Utilities
IRCTC,698.61,2023-02-07,Travel
Myntra,86.35,2023-04-09,Shopping
Ola,1063.77,2022-03-18,Travel
Swiggy,1027.25,2023-08-22,Dining
Netflix,14.84,2022-04-19,Entertainment
Water Board,873.82,2023-04-23,Utilities
Ajio,68.98,2022-05-04,Shopping
PhonePe,204.07,2022-08-01,Others
BYJU'S,680.33,2023-04-20,Education
Uber,87.63,2022-04-03,Travel
BSNL Bill,851.78,2023-12-23,Utilities
Reliance Fresh,892.3,2022-12-02,Groceries
BESCOM,354.1,2023-12-30,Utilities
Domino's,3.2,2023-02-10,Dining
Paytm Recharge,169.16,2023-11-25,Others
IRCTC,479.76,2022-06-28,Travel
Spencer's,1986.58,2023-04-09,Groceries
UPI Transfer,499.58,2022-09-13,Others
BookMyShow,150.42,2022-04-15,Entertainment
BESCOM,502.57,2022-01-13,Utilities
Reliance Fresh,388.25,2022-05-14,Groceries
McDonald's,756.71,2023-01-17,Dining
Spotify,56.57,2023-08-24,Entertainment
Uber,715.7,2022-01-23,Travel
Netflix,389.64,2023-10-24,Entertainment
Udemy,1648.31,2022-04-05,Education
Amazon,209.18,2022-02-13,Shopping
Coursera,500.68,2022-06-22,Education
MedPlus,1344.33,2023-05-24,Healthcare
Spencer's,54.08,2023-12-01,Groceries
1mg,1384.13,2022-12-29,Healthcare
Swiggy,582.19,2022-10-09,Dining
Air India,35.12,2022-06-02,Travel
Nature's Basket,179.03,2023-09-27,Groceries
Domino's,615.8,2023-05-26,Dining
Fortis Hospital,34.86,2023-05-06,Healthcare
Big Bazaar,436.34,2022-10-14,Groceries
1mg,212.23,2023-03-06,Healthcare
Barbeque Nation,485.0,2022-09-13,Dining
Paytm Recharge,23.41,2023-01-27,Others
Ajio,1026.06,2023-07-12,Shopping
BYJU'S,1815.1,2023-08-03,Education
PhonePe,1734.92,2023-02-02,Others
Ola,692.45,2022-01-27,Travel
Tata CLiQ,69.68,2022-08-13,Shopping
D-Mart,709.95,2022-03-01,Groceries
Unacademy,12.45,2023-01-02,Education
Swiggy,11.19,2022-04-13,Dining
Swiggy,195.49,2022-09-30,Dining
Paytm Recharge,335.34,2022-08-13,Others
Practo,735.72,2022-06-27,Healthcare
Mahanagar Gas,574.89,2023-08-30,Utilities
Myntra,295.21,2023-08-29,Shopping
D-Mart,159.85,2023-08-05,Groceries
Indane Gas,2925.76,2022-07-12,Utilities
Unacademy,277.72,2022-11-13,Education
Water Board,300.18,2022-02-08,Utilities
PVR Cinemas,89.34,2022-08-27,Entertainment
Zomato,791.91,2023-06-24,Dining
Coursera,591.57,2022-12-06,Education
Swiggy,124.72,2022-12-15,Dining
BSNL Bill,42.99,2022-03-02,Utilities
Reliance Fresh,570.5,2023-08-24,Groceries
BESCOM,531.4,2023-06-23,Utilities
Amazon,159.59,2023-01-18,Shopping
Fortis Hospital,1506.58,2022-04-14,Healthcare
Myntra,81.88,2022-11-27,Shopping
Mahanagar Gas,283.11,2023-03-24,Utilities
BYJU'S,1437.78,2022-06-28,Education
UPI Transfer,272.13,2023-01-01,Others
Barbeque Nation,508.78,2022-06-29,Dining
Practo,253.41,2023-12-07,Healthcare
Ola,160.25,2022-07-01,Travel
Nature's Basket,2066.89,2023-02-05,Groceries
Reliance Fresh,263.25,2023-09-09,Groceries
Tata CLiQ,1122.63,2022-08-15,Shopping
BookMyShow,130.65,2022-05-25,Entertainment
Amazon,119.83,2022-09-01,Shopping
Myntra,15.81,2022-06-21,Shopping
Hotstar,527.3,2023-04-03,Entertainment
D-Mart,229.85,2022-08-03,Groceries
Zomato,998.87,2022-12-25,Dining
Uber,320.48,2022-01-02,Travel
Spencer's,1724.04,2023-03-25,Groceries
1mg,102.61,2023-02-28,Healthcare
Vedantu,1014.84,2022-12-26,Education
ATM Withdrawal,749.39,2022-04-14,Others
Unacademy,736.85,2023-10-29,Education
Swiggy,931.47,2023-04-08,Dining
PVR Cinemas,715.7,2022-10-29,Entertainment
D-Mart,492.04,2022-09-25,Groceries
PVR Cinemas,70.35,2022-12-17,Entertainment
Water Board,16.53,2022-06-14,Utilities
Spotify,1268.19,2022-04-06,Entertainment
Tata CLiQ,479.4,2023-09-21,Shopping
Coursera,796.14,2023-03-18,Education
Indane Gas,328.43,2023-03-21,Utilities
BESCOM,62.39,2022-04-14,Utilities
Flipkart,66.87,2022-07-14,Shopping
Fortis Hospital,578.49,2023-07-08,Healthcare
IRCTC,281.33,2022-11-01,Travel
Zomato,111.9,2022-02-20,Dining
Fortis Hospital,338.24,2023-07-17,Healthcare
Udemy,33.18,2022-02-25,Education
Amazon,436.1,2023-03-14,Shopping
Hotstar,156.67,2023-11-09,Entertainment
Udemy,798.65,2022-04-10,Education
Reliance Fresh,185.79,2022-06-24,Groceries
